ID,tweet_id,dog_type
88,684225744407494656,pupper
89,684588130326986752,pupper
90,684830982659280897,pupper
91,684880619965411328,pupper
92,685169283572338688,pupper
93,685268753634967552,pupper
94,685307451701334016,floofer
95,685547936038666240,pupper
96,685641971164143616,pupper
97,685667379192414208,pupper
98,685943807276412928,pupper
99,686007916130873345,pupper
100,686050296934563840,floofer
101,686377065986265092,pupper
102,686618349602762752,pupper
103,686683045143953408,pupper
104,686760001961103360,pupper
105,687096057537363968,pupper
106,687312378585812992,pupper
107,687476254459715584,pupper
108,687704180304273409,pupper
109,687818504314159109,pupper
110,688179443353796608,pupper
111,688519176466644993,pupper
112,688894073864884227,pupper
113,688916208532455424,pupper
114,689143371370250240,pupper
115,689623661272240129,pupper
116,689661964914655233,floofer
117,689905486972461056,pupper
118,689993469801164801,floofer
119,690015576308211712,pupper
120,690735892932222976,floofer
121,690959652130045952,pupper
122,692187005137076224,floofer
123,692417313023332352,pupper
124,692752401762250755,pupper
125,692828166163931137,pupper
126,692905862751522816,pupper
127,693095443459342336,pupper
128,693262851218264065,pupper
129,693590843962331137,pupper
130,693629975228977152,pupper
131,694001791655137281,floofer
132,694329668942569472,pupper
133,694356675654983680,pupper
134,695074328191332352,pupper
135,695095422348574720,pupper
136,696100768806522880,pupper
137,696713835009417216,pupper
138,696877980375769088,pupper
139,697596423848730625,pupper
140,697616773278015490,pupper
141,699036661657767936,pupper
142,699434518667751424,pupper
143,699801817392291840,pupper
144,700143752053182464,pupper
145,700151421916807169,pupper
146,700864154249383937,pupper
147,701545186879471618,pupper
148,701805642395348998,pupper
149,701981390485725185,floofer
150,702598099714314240,pupper
151,703079050210877440,floofer
152,703268521220972544,pupper
153,703407252292673536,pupper
154,703611486317502464,pupper
155,704054845121142784,pupper
156,704134088924532736,pupper
157,704347321748819968,pupper
158,704761120771465216,pupper
159,704859558691414016,pupper
160,705428427625635840,pupper
161,705786532653883392,pupper
162,705975130514706432,pupper
163,706310011488698368,pupper
164,707315916783140866,pupper
165,707411934438625280,pupper
166,708845821941387268,pupper
167,709556954897764353,floofer
168,709566166965075968,floofer
169,709901256215666688,pupper
170,710117014656950272,pupper
171,710658690886586372,pupper
172,711008018775851008,pupper
173,711968124745228288,pupper
174,712309440758808576,pupper
175,713900603437621249,pupper
176,714606013974974464,pupper
177,716080869887381504,doggo
178,716447146686459905,pupper
179,717009362452090881,pupper
180,717790033953034240,pupper
181,719704490224398336,pupper
182,719991154352222208,doggo
183,720340705894408192,pupper
184,721001180231503872,pupper
185,723912936180330496,floofer
186,724004602748780546,pupper
187,724405726123311104,pupper
188,724771698126512129,doggo
189,725786712245440512,pupper
190,727314416056803329,pupper
191,727524757080539137,pupper
192,727644517743104000,doggo
193,728015554473250816,pupper
194,728035342121635841,pupper
195,730573383004487680,pupper
196,731156023742988288,doggo
197,732375214819057664,doggo
198,733109485275860992,doggo
199,733109485275860992,pupper
200,733822306246479872,floofer
201,735137028879360001,pupper
202,735256018284875776,doggo
203,735648611367784448,pupper
204,736365877722001409,pupper
205,736392552031657984,pupper
206,737310737551491075,pupper
207,737445876994609152,floofer
208,738537504001953792,puppo
209,739238157791694849,doggo
210,739606147276148736,pupper
211,739623569819336705,doggo
212,740676976021798912,pupper
213,741067306818797568,doggo
214,741067306818797568,pupper
215,741743634094141440,pupper
216,742150209887731712,pupper
217,742465774154047488,pupper
218,742534281772302336,doggo
219,743222593470234624,pupper
220,743253157753532416,puppo
221,744223424764059648,pupper
222,744234799360020481,doggo
223,744995568523612160,puppo
224,745433870967832576,doggo
225,746056683365994496,pupper
226,746542875601690625,floofer
